Teste 2:
Parametros: Memoria Virtual = 32, Memoria Fisica = 12, Tamanho Pagina = 4
Teste de Capacidade Total de Memória Física:
Alocando endereço virtual 56 -> endereço físico -2147483648
Alocando endereço virtual 57 -> endereço físico -2147483648
Alocando endereço virtual 58 -> endereço físico -2147483648
Alocando endereço virtual 59 -> endereço físico -2147483648
Alocando endereço virtual 60 -> endereço físico -2147483648
Alocando endereço virtual 61 -> endereço físico -2147483648
Alocando endereço virtual 62 -> endereço físico -2147483648
Alocando endereço virtual 63 -> endereço físico -2147483648
Alocando endereço virtual 64 -> endereço físico 0
Alocando endereço virtual 65 -> endereço físico 1
Alocando endereço virtual 66 -> endereço físico 2
Alocando endereço virtual 67 -> endereço físico 3
Alocando endereço virtual 68 -> endereço físico 4
Alocando endereço virtual 69 -> endereço físico 5
Alocando endereço virtual 70 -> endereço físico 6
Alocando endereço virtual 71 -> endereço físico 7
Alocando endereço virtual 72 -> endereço físico 8
Alocando endereço virtual 73 -> endereço físico 9
Alocando endereço virtual 74 -> endereço físico 10
Alocando endereço virtual 75 -> endereço físico 11
Alocando endereço virtual 76 -> endereço físico 12
Alocando endereço virtual 77 -> endereço físico 13
Alocando endereço virtual 78 -> endereço físico 14
Alocando endereço virtual 79 -> endereço físico 15
Alocando endereço virtual 80 -> endereço físico 0
Alocando endereço virtual 81 -> endereço físico 1
Alocando endereço virtual 82 -> endereço físico 2
Alocando endereço virtual 83 -> endereço físico 3
Alocando endereço virtual 84 -> endereço físico 4
Alocando endereço virtual 85 -> endereço físico 5
Alocando endereço virtual 86 -> endereço físico 6
Alocando endereço virtual 87 -> endereço físico 7
Alocando endereço virtual 88 -> endereço físico 8
Alocando endereço virtual 89 -> endereço físico 9
Alocando endereço virtual 90 -> endereço físico 10
Alocando endereço virtual 91 -> endereço físico 11
Alocando endereço virtual 92 -> endereço físico 12
Alocando endereço virtual 93 -> endereço físico 13
Alocando endereço virtual 94 -> endereço físico 14
Alocando endereço virtual 95 -> endereço físico 15
Alocando endereço virtual 96 -> endereço físico -2147483648
Alocando endereço virtual 97 -> endereço físico -2147483648
Alocando endereço virtual 98 -> endereço físico -2147483648
Alocando endereço virtual 99 -> endereço físico -2147483648
Alocando endereço virtual 100 -> endereço físico -2147483648
Alocando endereço virtual 101 -> endereço físico -2147483648
Alocando endereço virtual 102 -> endereço físico -2147483648
Alocando endereço virtual 103 -> endereço físico -2147483648
Alocando endereço virtual 104 -> endereço físico -2147483648
Alocando endereço virtual 105 -> endereço físico -2147483648
Alocando endereço virtual 106 -> endereço físico -2147483648
Alocando endereço virtual 107 -> endereço físico -2147483648
Alocando endereço virtual 108 -> endereço físico -2147483648
Alocando endereço virtual 109 -> endereço físico -2147483648
Alocando endereço virtual 110 -> endereço físico -2147483648
Alocando endereço virtual 111 -> endereço físico -2147483648
Alocando endereço virtual 112 -> endereço físico -2147483648
Alocando endereço virtual 113 -> endereço físico -2147483648
Alocando endereço virtual 114 -> endereço físico -2147483648
Alocando endereço virtual 115 -> endereço físico -2147483648
Alocando endereço virtual 116 -> endereço físico -2147483648
Alocando endereço virtual 117 -> endereço físico -2147483648
Alocando endereço virtual 118 -> endereço físico -2147483648
Alocando endereço virtual 119 -> endereço físico -2147483648
Alocando endereço virtual 120 -> endereço físico -2147483648
Alocando endereço virtual 121 -> endereço físico -2147483648
Alocando endereço virtual 122 -> endereço físico -2147483648
Alocando endereço virtual 123 -> endereço físico -2147483648
Alocando endereço virtual 124 -> endereço físico -2147483648
Alocando endereço virtual 125 -> endereço físico -2147483648
Alocando endereço virtual 126 -> endereço físico -2147483648
Alocando endereço virtual 127 -> endereço físico -2147483648
Alocando endereço virtual 128 -> endereço físico 0
Alocando endereço virtual 129 -> endereço físico 1
Alocando endereço virtual 130 -> endereço físico 2
Alocando endereço virtual 131 -> endereço físico 3
Alocando endereço virtual 132 -> endereço físico 4
Alocando endereço virtual 133 -> endereço físico 5
Alocando endereço virtual 134 -> endereço físico 6
Alocando endereço virtual 135 -> endereço físico 7
Alocando endereço virtual 136 -> endereço físico 8
Alocando endereço virtual 137 -> endereço físico 9
Alocando endereço virtual 138 -> endereço físico 10
Alocando endereço virtual 139 -> endereço físico 11
Alocando endereço virtual 140 -> endereço físico 12
Alocando endereço virtual 141 -> endereço físico 13
Alocando endereço virtual 142 -> endereço físico 14
Alocando endereço virtual 143 -> endereço físico 15
Alocando endereço virtual 144 -> endereço físico 1072
Alocando endereço virtual 145 -> endereço físico 1073
Alocando endereço virtual 146 -> endereço físico 1074
Alocando endereço virtual 147 -> endereço físico 1075
Alocando endereço virtual 148 -> endereço físico 1076
Alocando endereço virtual 149 -> endereço físico 1077
Alocando endereço virtual 150 -> endereço físico 1078
Alocando endereço virtual 151 -> endereço físico 1079
Alocando endereço virtual 152 -> endereço físico 1080
Alocando endereço virtual 153 -> endereço físico 1081
Alocando endereço virtual 154 -> endereço físico 1082
Alocando endereço virtual 155 -> endereço físico 1083
Alocando endereço virtual 156 -> endereço físico 1084
Alocando endereço virtual 157 -> endereço físico 1085
Alocando endereço virtual 158 -> endereço físico 1086
Alocando endereço virtual 159 -> endereço físico 1087
Alocando endereço virtual 160 -> endereço físico -2147483648
Alocando endereço virtual 161 -> endereço físico -2147483648
Alocando endereço virtual 162 -> endereço físico -2147483648
Alocando endereço virtual 163 -> endereço físico -2147483648
Alocando endereço virtual 164 -> endereço físico -2147483648
Alocando endereço virtual 165 -> endereço físico -2147483648
Alocando endereço virtual 166 -> endereço físico -2147483648
Alocando endereço virtual 167 -> endereço físico -2147483648
Alocando endereço virtual 168 -> endereço físico -2147483648
Alocando endereço virtual 169 -> endereço físico -2147483648
Alocando endereço virtual 170 -> endereço físico -2147483648
Alocando endereço virtual 171 -> endereço físico -2147483648
Alocando endereço virtual 172 -> endereço físico -2147483648
Alocando endereço virtual 173 -> endereço físico -2147483648
Alocando endereço virtual 174 -> endereço físico -2147483648
Alocando endereço virtual 175 -> endereço físico -2147483648
Alocando endereço virtual 176 -> endereço físico -2147483648
Alocando endereço virtual 177 -> endereço físico -2147483648
Alocando endereço virtual 178 -> endereço físico -2147483648
Alocando endereço virtual 179 -> endereço físico -2147483648
Alocando endereço virtual 180 -> endereço físico -2147483648
Alocando endereço virtual 181 -> endereço físico -2147483648
Alocando endereço virtual 182 -> endereço físico -2147483648
Alocando endereço virtual 183 -> endereço físico -2147483648
Alocando endereço virtual 184 -> endereço físico -2147483648
Alocando endereço virtual 185 -> endereço físico -2147483648
Alocando endereço virtual 186 -> endereço físico -2147483648
Alocando endereço virtual 187 -> endereço físico -2147483648
Alocando endereço virtual 188 -> endereço físico -2147483648
Alocando endereço virtual 189 -> endereço físico -2147483648
Alocando endereço virtual 190 -> endereço físico -2147483648
Alocando endereço virtual 191 -> endereço físico -2147483648
Alocando endereço virtual 192 -> endereço físico 0
Alocando endereço virtual 193 -> endereço físico 1
Alocando endereço virtual 194 -> endereço físico 2
Alocando endereço virtual 195 -> endereço físico 3
Alocando endereço virtual 196 -> endereço físico 4
Alocando endereço virtual 197 -> endereço físico 5
Alocando endereço virtual 198 -> endereço físico 6
Alocando endereço virtual 199 -> endereço físico 7
Alocando endereço virtual 200 -> endereço físico 8
Alocando endereço virtual 201 -> endereço físico 9
Alocando endereço virtual 202 -> endereço físico 10
Alocando endereço virtual 203 -> endereço físico 11
Alocando endereço virtual 204 -> endereço físico 12
Alocando endereço virtual 205 -> endereço físico 13
Alocando endereço virtual 206 -> endereço físico 14
Alocando endereço virtual 207 -> endereço físico 15
Alocando endereço virtual 208 -> endereço físico 1072
Alocando endereço virtual 209 -> endereço físico 1073
Alocando endereço virtual 210 -> endereço físico 1074
Alocando endereço virtual 211 -> endereço físico 1075
Alocando endereço virtual 212 -> endereço físico 1076
Alocando endereço virtual 213 -> endereço físico 1077
Alocando endereço virtual 214 -> endereço físico 1078
Alocando endereço virtual 215 -> endereço físico 1079
Alocando endereço virtual 216 -> endereço físico 1080
Alocando endereço virtual 217 -> endereço físico 1081
Alocando endereço virtual 218 -> endereço físico 1082
Alocando endereço virtual 219 -> endereço físico 1083
Alocando endereço virtual 220 -> endereço físico 1084
Alocando endereço virtual 221 -> endereço físico 1085
Alocando endereço virtual 222 -> endereço físico 1086
Alocando endereço virtual 223 -> endereço físico 1087
Alocando endereço virtual 224 -> endereço físico -2147483648
Alocando endereço virtual 225 -> endereço físico -2147483648
Alocando endereço virtual 226 -> endereço físico -2147483648
Alocando endereço virtual 227 -> endereço físico -2147483648
Alocando endereço virtual 228 -> endereço físico -2147483648
Alocando endereço virtual 229 -> endereço físico -2147483648
Alocando endereço virtual 230 -> endereço físico -2147483648
Alocando endereço virtual 231 -> endereço físico -2147483648
Alocando endereço virtual 232 -> endereço físico -2147483648
Alocando endereço virtual 233 -> endereço físico -2147483648
Alocando endereço virtual 234 -> endereço físico -2147483648
Alocando endereço virtual 235 -> endereço físico -2147483648
Alocando endereço virtual 236 -> endereço físico -2147483648
Alocando endereço virtual 237 -> endereço físico -2147483648
Alocando endereço virtual 238 -> endereço físico -2147483648
Alocando endereço virtual 239 -> endereço físico -2147483648
Alocando endereço virtual 240 -> endereço físico -2147483648
Alocando endereço virtual 241 -> endereço físico -2147483648
Alocando endereço virtual 242 -> endereço físico -2147483648
Alocando endereço virtual 243 -> endereço físico -2147483648
Alocando endereço virtual 244 -> endereço físico -2147483648
Alocando endereço virtual 245 -> endereço físico -2147483648
Alocando endereço virtual 246 -> endereço físico -2147483648
Alocando endereço virtual 247 -> endereço físico -2147483648
Alocando endereço virtual 248 -> endereço físico -2147483648
Alocando endereço virtual 249 -> endereço físico -2147483648
Alocando endereço virtual 250 -> endereço físico -2147483648
Alocando endereço virtual 251 -> endereço físico -2147483648
Alocando endereço virtual 252 -> endereço físico -2147483648
Alocando endereço virtual 253 -> endereço físico -2147483648
Alocando endereço virtual 254 -> endereço físico -2147483648
Alocando endereço virtual 255 -> endereço físico -2147483648
Todos os 256 endereços virtuais alocados com sucesso.
Teste de Reutilização de Molduras:
Endereço Virtual 0 -> Endereço Físico 0
Endereço Virtual 512 -> Endereço Físico 16
Endereço Virtual 1024 -> Endereço Físico 32
Endereço Virtual 1536 -> Endereço Físico 48
Endereço Virtual 2048 -> Endereço Físico 64
Teste de Tamanho de Página Diferente:
Endereço Virtual 0 -> Endereço Físico 0
Endereço Virtual 512 -> Endereço Físico 16
Endereço Virtual 1024 -> Endereço Físico 32
Endereço Virtual 1536 -> Endereço Físico 48
Endereço Virtual 2048 -> Endereço Físico 64
Tradução de Endereços Virtuais para Físicos:
Endereço Virtual 0 -> Endereço Físico 0
Endereço Virtual 512 -> Endereço Físico 16
Endereço Virtual 1024 -> Endereço Físico 32
Endereço Virtual 1536 -> Endereço Físico 48
Endereço Virtual 2048 -> Endereço Físico 64
Fim da bateria de teste. 2
